언론사,제목,내용,작성일시
매일경제,"“국내 정치 불확실성으로 원달러 환율 급등…현대제철, 수익성 회복 폭 낮아질 것”","
      사진 확대    현대제철 CI. [사진 = 현대제철]  NH투자증권은 30일 현대제철에 대해 국내 정치 불확실성 심화하고 있지만 내년은 전망이 나아질 것이라며 투자 의견 매수를 유지, 목표주가를 4만원에서 3만2000원으로 하향했다.NH투자증권은 트럼프의 관세 전쟁에 따른 철강 수요 악화 우려 속에 계엄령 발동으로 원달러 환율이 급등해 주가도 약세를 보인다고 봤다. 이에 향후 수익성 회복 폭이 당초 예상보다 낮아질 것으로 예상했다.다만 향후 중국 경기부양에 따른 철강 수요 개선을 기대할 수 있을 것으로 전망했다. 중국 철강의 수요가 개선되면 (중국의) 철강 수출 감소로 이어져 철강의 가격이 상승하는 요인으로 작용할 수 있어서다.현재 중국의 철강 수요에 대한 강한 회복 신호는 나타나고 있지 않지만, 지난 11월 중국 부동산 판매 면적이 2021년 6월 이후 처음으로 전년 동기 대비 3.2% 상승한 것은 주목할 만하다고 봤다.NH투자증권은 국내 건축착공면적이 증가하고 있는 점도 주목할 필요가 있다고 분석했다. 국내 봉형강 수요 개선으로 이어질 수 있어서다. 10월까지 국내 건축착공면적은 전년 동기 대비 12.3% 증가, 올해는 2021년 이후 처음으로 착공면적이 증가할 것으로 봤다. 앞서 국내 철근 및 H형강 수요는 20% 감소했고, 이는 주요 제강사들의 감산으로 이어졌다.이재광 NH투자증권 연구원은 “업황 부진이 지속되면서 원달러 환율까지 급등해 수익에 비우호적으로 작용하는 상황이다”며 “중국 정부의 경기부양책 및 국내 건축착공 면적 증가로 내년은 올해보다 좋을 것으로 보인다”고 밝혔다.
",2024-12-30 08:29:19
매일경제,이지영 서울의대 신경과 교수 “GV1001 PSP 2a 임상 데이터 상당히 고무적”,"
      사진 확대    [사진출처 = 젬백스]  한국에서 처음으로 진행성핵상마비(Progressive Supranuclear Palsy, PSP) 임상시험이 진행됐다. 질환명조차 생소한 희귀질환이지만, 우리나라에서 진단받은 환자만 2,500명이 넘고 전 세계적으로는 30만 명에 달하는 환자가 있다.아직 세계 어느 곳에서도 PSP의 진행을 지연시키거나 회복시키는 약은 없다. 세계적으로 희귀난치병 중 하나인 PSP 치료제 개발을 위한 임상시험이 국내에서 진행됐고, 그 임상시험에서 세계가 주목할 의미 있는 결과가 도출됐다.매경닷컴에서는 한국 최초의 PSP 임상시험을 진두지휘한 서울의대 신경과학교실 이지영 교수(뇌신경과학 박사, 서울대병원 운영 서울특별시 보라매병원)와 서면 인터뷰를 통해 연구 성과를 조명해 봤다.“PSP, 진단 때 이미 속수무책인 경우 많아…치료제 절실”PSP는 뇌에 생기는 타우(4 repeat tau) 병증으로 분류되는 신경퇴행성질환이다. 운동장애가 나타나기 때문에 파킨슨병과 감별해야 하는 중요한 비정형 파킨슨증후군으로 분류된다. 파킨슨병보다 발생률이 적으며, 3배 정도 진행하는 속도가 빠르기 때문에 (즉, 빨리 사망할 수가 있기 때문에) 실제 앓고 있는 환자의 수는 파킨슨병의 5-10%에 못 미친다. PSP는 진단이 어려운 병이고, 어렵게 진단이 되었을 때 이미 속수무책인 경우가 많아 신경과 전문의들도 진료하기 어려운 병 중 하나이다.PSP 국내 2a상 임상시험은 5개 대학병원에서 시행한 무작위배정 위약 대조 두 가지 용량의 평행설계 임상시험이다. 위약(placebo)군이 기존에 알려진 자연 경과대로 진행이 된 데에 비해 투약군에서는 특히 한 치료용량 군에서는 비교적 고르게 긍정적인 신호가 잡혔고, 다른 한 치료용량군에서는 아주 좋은 사람과 그렇지 않은 사람으로 이분화되는 신호가 잡혔다.Neuro2024 학회는 오로지 PSP만 연구하고 치료제 개발에도 참여하고 있는 연구자들만 모여서 진행하는 학회이다 보니 한국에서 깜짝 발표를 한 데이터를 보고 놀라는 연구자들이 많았다. 임상시험의 전체 데이터가 나올 논문과 향후 임상시험 진행이 어떻게 될지 굉장히 궁금해했고, 국내 연구자들의 노력에 축하와 격려를 보내줬다.“GV1001, 치료 패러다임 다른 약물…기존 흐름보다 더 장점”GV1001은 현재 PSP 치료제 개발의 주 흐름인 안티타우 타깃 치료제들과는 기전 측면에서 치료의 패러다임이 조금 다른 약물이다. 이 부분이 오히려 기존 흐름보다 더 장점이 있다고 생각한다. 사실 신경퇴행성질환이라는 병이 굉장히 복잡한 병리와 병태생리학적 기전을 가지고 있어서 타우 병증이라고 분류되는 병도 사실 다양한 단백 병증 병리가 병의 진행 과정에서 함께 나타나고, 세포 사멸은 복수의 경로로 발생한다.GV1001은 신경 퇴행의 기전에 해당하는 여러 측면에서 세포 생존을 유도해 주는 신호가 여러 동물실험에서 보였고, 4R PSP 동물모델에서 운동기능 향상과 함께 타우의 응집을 줄여 주기도 했다. PSP 환자들에게 이점을 줄 수 있는 약제로 미래에 입증된다면, 아마도 GV1001이 궁극적으로 PSP를 없앨 정도의 효과는 아니라고 하더라도 그 자체가 주는 의미가 있다고 생각한다.GV1001 2a 임상시험은 일단 데이터를 보면 상당히 고무적이다. 지속적으로 투약을 받고 싶어 하는 환자들이 있을 정도로 체감을 느끼는 환자도 있을 정도이다. 그다음 순서로는 실제 치료 시 사용할 용량들을 고려한 실질적인 2b 단계의 임상시험을 한가지가 아닌 여러 형태로 진행해 보아야 할 것이다.글로벌 3상 임상시험은 미국의 시스템에서 볼 때 PSP는 희귀질환이기 때문에 2a 임상시험 데이터를 가지고도 허가 전 단계 임상으로 바로 들어갈 수 있는 패스트 트랙(fast tract)을 생각해 볼 수 있다. 그 때문에 북미와 유럽의 연구자들과 임상시험 관계자들은 그렇게 준비하고 있는 것으로 들었다.환자에게 어떻게 투약해야 가장 이 약의 장점을 살릴 수 있을지 많은 실험과 임상시험이 이루어져야 한다. 다만, 부작용이 별로 없고, 주사가 어렵지 않은 약물이어서 미래에 다양한 신경퇴행성질환에 적용할 수 있도록 개발해 볼 필요성이 큰 약물이라고 생각한다.“환자로부터 시작된 연구…희망 주고 있다 느껴”PSP 치료제 개발 임상시험을 우리나라에서 했다는 것은 그만큼 이제는 우리나라 의료진 수준이 높아졌다는 것을 의미한다. 이전에는 이런 어려운 병은 미국 같은 선진국에서나 치료제를 개발해 주는 병이라 의례 생각되어 왔었다.이런 어려운 임상시험을 시작하게 된 계기는 치료제를 개발해 달라며 꾸준히 관련 논문과 데이터를 한 뭉치씩 제 책상에 두고 가는 환자 가족들이 있었다. 도저히 외면할 수 없어 공부를 시작했고, 당시 알츠하이머병 임상시험을 하고 있던 약물의 작용 기전과 효능에 대한 실험자료들을 보면서 PSP에서도 임상시험을 해볼 가치가 있는 약이라는 생각에 도달하게 되었고 임상시험을 완료했다. 이 모든 것이 5년 정도의 준비기간 동안 많은 연구자와 회사가 함께 노력한 성과이다.결과적으로는 많은 환자가 훌륭히 임상시험 프로토콜을 소화하고 1년 연장투여 임상시험으로 넘어간 것 자체가 상당히 고무적이었다. 또한, 임상시험 시작 전부터 지금까지 1년 반이 다 되어가는 기간 동안 여전히 미소를 지어 주고 인사하는 환자들을 보면 이 약물이 효과가 충분하든 안 하든 이분들에게 조금이라도 희망이 되어 주고 있다는 것을 느낄 수 있었다.이상규 기자
",2024-12-30 07:47:27
매일경제,"“이마트, G마켓·알리익스프레스 출자로 사업 시너지 모색”","
      사진 확대    이마트 [사진 출처 = 연합뉴스]  IBK투자증권은 30일 이마트에 대해 G마켓과 알리익스프레스 출자를 통해 사업 시너지를 모색하고 있다며 투자의견 매수, 목표주가 8만3000원을 유지했다.지난 26일 이마트는 공시를 통해서 알리익스프레스와 지마켓의 지분 출자를 밝혔다. 본 구조는 아폴로코리아가 보유하고 있는 G마켓 지분 100%를 현물출자하고 알리익스프레스는 알리익스프레스 코리아 지분 현물출자와 이와 별도로 추가적인 현금성 자산을 출자해 50대 50 지분을 구축한다는 계획이다.이번 출자를 통해서 알리익스프레스와 G마켓의 시너지를 극대화해 국내 이커머스 시장 지배력을 넓힌다는 방침이다.IBK투자증권은 이번 JV 설립을 두고 반쿠팡 연대 구축이 가속화되고 있음을 시사한다고 평가했다. 단순히 알리와 이마트의 사업적 시너지 모색이 아닌 물류+온라인에 대한 시너지 발현을 통해 쿠팡이 독주하고 있는 시장을 견제한다는 설명이다.남성현 IBK투자증권은 “이마트 입장에서 시너지는 크게 2가지 G마켓을 통해 유입되는 셀러의 해외 진출을 도와주면서 양질의 셀러들을 구축할 수 있고, 해외직구 상품을 확대해 트래픽을 확보할 수 있을 것으로 보인다”며 “본격적인 물류 효율화와 온라인 전략이 강화되고 있는 만큼 향후 성장성에 대한 의심이 완화될 것으로 전망한다”고 말했다.
",2024-12-30 07:40:44
매일경제,“여행·항공株 어쩌나”…연말 덮친 탄핵·항공 참사에 투자심리 추락 위기,"
 비상계엄·원화값 약세로대한항공·LCC 하락 국면제주항공 악재 후폭풍 우려투심 위축으로 반등 불투명정국 불안에 여행주도 타격증시 전반 변동성 커질 듯        사진 확대     탄핵 정국 혼란이 소비심리를 짓누르는 가운데 제주항공 사고로 인한 투자심리 위축 가능성이 항공·여행 관련주에 추가 악재로 떠올랐다.정부가 관광업계 살리기에 나섰지만 정국이 어수선한 데다 국내외 여행 수요까지 움츠러들 수 있어 연말 특수를 기대했던 업계 실적이 회복되기 힘들 것이라는 우려가 나온다.29일 오전 발생한 제주항공 무안공항 사고 직후 주요 증권사 모바일트레이딩시스템(MTS) 앱에는 제주항공이 종목 검색어 1위에 올랐다.당국이 구체적인 사고 원인 파악에 나선 가운데 증권가에서는 이번 사고가 제주항공을 비롯한 관련 업종 주가와 국내 증시에 미칠 영향에 촉각을 곤두세우는 분위기다.      사진 확대    제주항공 올해 주가 흐름  한 증권사 관계자는 “항공사 측 과실에 따라 손해배상 규모가 달라지겠지만 당장 주가를 끌어내릴 변수는 투자심리”라며 “제주항공 주가 향방을 예상하기 힘들다”고 말했다.증시 전반 분위기에 대해서는 “대통령 권한대행의 권한대행에 대해서도 탄핵 압박이 나오는 분위기를 감안하면 내수 경기나 소비심리 살리기가 쉽지 않은 상황이라 분위기 전환을 기대하는 것은 무리”라고 언급했다.자칫 이번 사고가 증시 전반에 악재로 번질 수 있다는 우려까지 나오고 있다.‘비상계엄’ 사태가 벌어진 지난 3일 이후 국내 주요 항공사 주가는 이미 급락한 상태다.3일 이후 27일까지 저비용항공사(LCC) 중 티웨이항공과 제주항공이 각각 12.5% 급락했고 진에어는 11.7% 하락했다. 아시아나항공 인수로 시장 지배력을 키운 대한항공도 9.2% 떨어지는 등 고전하는 모양새다.투자자들 사이에서는 원화값 급락으로 인한 해외여행 수요 감소가 국내여행 수요 증가로 이어지기 힘들다고 보는 분위기다. 비상계엄 사태 이후 국회가 대통령 권한대행마저 탄핵에 나선 것을 계기로 외환시장이 출렁이고 실물경제 분위기도 얼어붙은 탓이다.27일(현지시간) 뉴욕 외환시장에서는 달러 대비 원화값이 전날보다 0.38% 떨어져 1473.80원에 거래를 마감했다.안도현 하나증권 연구원은 “과거 원화값이 약세(달러 강세)였던 시기를 보면 평균적으로 출국자 수는 이전보다 감소하거나 증가세가 둔화하는 경향을 보였다”면서 “원화값이 떨어지면 항공사로서는 탑승객 수요뿐 아니라 비용 측면에서도 부정적인 영향을 받을 수밖에 없다”고 분석했다.단기적으로 항공주 전반이 매도세에 휩싸인 가운데 LCC와 대형사 주가 간 온도차가 커질 가능성도 제기된다.최고운 한국투자증권 연구원은 “국내 정세가 불안한 가운데 대한항공의 아시아나항공 인수 성공, 진에어와 에어부산, 에어서울의 통합 LCC 출범 추진 등 최근 시장 구조 개편 움직임을 보면 대한항공 입지가 더 강화될 것”이라고 26일 언급했다.이어 “항공사들이 운임을 포기하면서까지 점유율 경쟁에 나서지 않을 분위기이고, LCC가 돌발 행동에 나서려 해도 보잉의 여객기 생산 차질 때문에 비행기 도입 자체가 어려운 상황”이라고 분석했다.      사진 확대    지난 27일 국회 본회의에서 우원식 국회의장이 ‘국무총리(한덕수) 탄핵소추안’의 의결정족수를 재적 과반(151석) 이상으로 정하고 투표 개시를 선언하자 국민의힘 의원들이 의장석을 둘러싸고 격렬하게 항의하고 있다. [김호영 기자]  일각에서는 정부가 외국인 관광 활성화 취지로 발표한 비자정책 효과에 주목하지만 탄핵 정국 탓에 기대감이 사그라드는 분위기다.정부는 내년부터 크루즈선을 타고 오는 중국인 단체관광객에 대해 무비자 입국을 허용한다고 지난 26일 밝혔다.다른 여객선이나 여객기로 오는 중국인 단체관광객의 무비자 입국을 허용하는 방안도 검토하는 한편 중국과 베트남, 필리핀, 인도네시아, 캄보디아, 인도 등 6개국 단체관광객에 대해서는 비자 발급 수수료 면제 기간을 내년 12월까지 연장한다는 소식도 나왔다.이에 따라 하나투어, 모두투어, 노랑풍선 등 여행사 주가가 이날 급등했다. 그러나 다시 상승분을 반납했고 27일 들어서는 하락 마감했다.국가관광전략회의를 열어 경제 살리기 대책 마련에 나섰던 한덕수 대통령 권한대행 국무총리에 대해 국회가 27일 탄핵소추안을 통과시키면서 정책 추진 동력이 약화됐다는 비관론이 매도세로 이어진 결과다.
",2024-12-29 22:32:53
매일경제,"미장에 푹빠진 서학개미, 올해 375조원 사들였다","


미국주식 매수 89% 급증 … 해외투자 美비중 역대 최고지수추종·고배당 ETF 인기순매수 톱10 종목 중 4개 차지3040대 스벅·코카콜라 선호상속·증여 목적 투자도 눈길전문가 ""내년도 美쏠림 심화""


      사진 확대     
미국 주식 투자 열풍이 거세지면서  국내 투자자들의 해외 주식 투자 금액 중 미국 비중이 2011년 통계 작성 이후 올해 처음으로 95%를 돌파했다.
'서학개미'들은 연령대를 불문하고 테슬라, 애플, 엔비디아를 앞다퉈 매수했지만 연령대가 높아질수록 배당주를 선호하는 경향을 보였다.
29일 한국예탁결제원에 따르면 국내 투자자들의 미국 주식 매수 금액은 이달 26일까지 올해 총 2553억8000만달러(약 375조3575억원)로 해외 주식 전체 매수 금액에서 차지하는 비중이 96.2%를 기록했다.
관련 통계 집계가 시작된 2011년 이후 14년 만에 처음으로 95%를 넘어섰다. 한국 투자자들의 미국 주식 매수는 코로나19 대유행이 있었던 2020년을 기점으로 급증했고 2021년 처음 미국 주식 매수 비중이 90%를 돌파한 바 있다. 올해 미국 주식 매수 금액은 작년 대비 약 89% 증가했다.
이날 예탁결제원에 따르면 이달 26일까지 집계된 국내 투자자들의 미국 주식 보관 금액은 총 1178억6832만달러(약 173조9736억원)로, 작년 대비 73% 늘어났다. 기존에 투자해온 미국 주식 주가가 오른 데다 신규 혹은 추가 매수가 늘어난 결과다.
한국 투자자들의 올해 해외 주식 순매수 인기 종목을 들여다보면 스탠더드앤드푸어스(S&P)500지수 추종 상장지수펀드(ETF)나 배당주 ETF가 눈에 띈다.
예탁결제원 집계를 보면 해외 주식 상위 종목 중 3개가 미국 지수 추종 및 배당주 ETF다. 1위인 테슬라에 이어 2위는 뱅가드 S&P500 ETF, 3위는 슈와브 US 배당주 ETF, 4위는 팰런티어, 5위는 인베스코QQQ트러스트 ETF이며 8위는 SPDR S&P500 ETF다. 엔비디아는 10위 안에 포함되지 않았다.
2020년 이후 5개 연도를 통틀어 볼 때 해외 주식 순매수 10위 내 종목 중 미국 지수 추종·배당주 ETF(레버리지 제외)가 네 종목이나 들어간 것은 올해가 처음이다.
토스증권이 매일경제 의뢰로 분석한 바에 따르면 한국 투자자들은 연령대를 불문하고 테슬라, 애플, 엔비디아가 상위 보유 5개 종목 안에 들었다.
다만 10대는 상위 다섯 종목에 리게티컴퓨팅과 마이크로소프트, 20대는 코카콜라와 마이크로소프트, 30대 이상은 스타벅스와 코카콜라가 포함됐다. 리게티컴퓨팅은 양자컴퓨터에 사용되는 양자 집적 회로 개발업체로, 올해 들어 주가가 1754% 뛰었다. 대부분 알파벳의 양자컴퓨터 개발 호재가 알려진 11월 말 이후 상승했다.
20대가 코카콜라를 보유한 것은 장기 투자 선호 경향과 더불어 부모 세대의 주식 물려주기 투자와 관련이 있는 것으로 풀이된다.
코카콜라는 '오마하의 현인' 워런 버핏 버크셔해서웨이 회장의 장기 보유 종목으로도 유명하며 현재 배당 수익률은 3.10%다. 다만 올해 주가는 4.40% 오르는 데 그쳤다.
토스증권 관계자는 ""수년 전부터 부모 세대 사이에서 미성년 자녀를 위해 자녀 명의로 스타벅스나 코카콜라 같은 배당 매력이 있는 종목에 투자하려는 수요가 있었는데 시간이 흘러 자녀들이 계좌를 물려받으면서 나타난 영향이 일부 반영됐을 수 있다""고 해석했다. 이 밖에 젊은 층 사이에서도 적립식 배당주 매수가 주목받는 흐름이 감지된다.
스타벅스는 올해 5월 주가가 급락하면서 한국 투자자들 사이에서 저점 매수로 인기를 끌기도 했다.
토스증권에 따르면 미국 주식 투자자는 연령대별로는 40대(24.6%)가 가장 많았고 이어 20대(23.5%)와 30대(23.3%) 순으로 비중이 컸다. 지역별로는 경기(29.6%)와 서울(24.6%)이 압도적으로 많았으며 경상(8.30%), 인천(6.20%), 충청(5.50%) 등이 뒤를 이었다.
한상원 토스증권 연구원은 ""원화값 하락에 따른 환손실 부담보다 미국 증시 상승으로 얻는 이익이 더 클 것이라는 인식을 감안하면 미국 중심의 해외 주식 선호가 이어질 것""이라고 내다봤다.
[김인오 기자 / 김대은 기자]

",2024-12-29 16:44:12
매일경제,고배당 노린다면 '다우의 개' 키워볼만,"


맥도날드·머크·골드만삭스 등배당수익 상위 10개 종목 선정금리 인하땐 주가 반등 기대감


미국 증시가 연말연시 상승 기대감에 부풀어오른 가운데 '다우의 개' 전략이 관심을 받고 있다. 새해 금리가 추가 인하되면 주가 반등을 노릴 만한 배당주 투자 매력이 부각될 것이라는 기대에서다.
29일 증권업계에 따르면 내년 '다우의 개' 종목은 패스트푸드 프랜차이즈 맥도날드, 대형 제약사 머크, 글로벌 생활용품 업체 프록터앤드갬블(P&G)을 비롯해 코카콜라, 암젠, 시스코, 골드만삭스, IBM, 셰브론, 버라이즌 등 총 10개다.
이는 현재까지 주가가 많이 뒤처졌지만 앞으로 반등이 따를 것이라는 기대를 전제로 한다.
배당 수익률이 높다는 것은 회사의 주가 대비 연간 배당금 비중이 크다는 뜻인데, 분모에 해당하는 회사 주가가 많이 낮아진 상황이라면 배당 수익률이 높게 잡히기 때문이다.
미국 현지 경제매체 CNBC는 2025년 '다우의 개' 종목들의 현재 배당 수익률은 평균 3.5%인 반면 다우지수는 2%, 스탠더드앤드푸어스(S&P)500지수는 1.9%라고 팩트셋 집계를 인용해 지난 26일(현지시간) 전했다.
S&P500지수의 경우 배당금을 지급하는 기업은 80% 정도인데, 배당 수익률은 평균 2.3%다.

'다우의 개' 전략
매년 다우존스30산업평균지수 내 30개 종목 중 배당 수익률이 높은 10개 종목을 집중 매수하는 전략.
[김인오 기자]

",2024-12-29 16:44:11
매일경제,구글·테슬라·아마존 '로보택시' 쟁탈전,"


내년부터 본격 상용화 전망GM 철수로 업계 지각변동구글 선두, 테슬라 맹추격


      사진 확대    알파벳 '웨이모' 로보택시  
구글 웨이모의 주도하에 펼쳐지는 로보택시(자율주행 무인택시) 시장이 2025년에 각축전을 벌일 것이라는 전망이 나온다. 후발주자인 테슬라와 아마존이 본격적으로 시장 확대에 나서는 원년이 될 것이라는 분석이다.
29일 금융투자업계에 따르면 글로벌 승차 공유 서비스 시장 규모는 올해 1238억달러(약 182조원)에서 2032년 4809억달러(약 709조원)까지 4배 가까운 성장이 예상된다. 이 중 로보택시가 작지 않은 비중을 차지할 것으로 관측된다.
주도권 전쟁 우위에 있는 회사는 알파벳의 웨이모다. 웨이모는 2009년 구글에서 '운전기사(chauffeur) 사업'을 시작한 이후 현재까지 자율주행 500만건 이상을 완료했다고 발표했다. 불과 1년 전까지만 해도 70만건의 운행이 이뤄진 것과 비교하면 대폭 확대된 수준이다.
샌프란시스코 등지에서는 일반 시민들이 웨이모 원 앱으로 웨이모 차량을 호출해 서비스를 이용할 수 있다. 현재 피닉스, 샌프란시스코, 로스앤젤레스에서 운영되고 있다.
웨이모의 가장 강력한 경쟁자는 도널드 트럼프 2기 시대에 최측근으로 등극한 일론 머스크가 이끄는 테슬라다. 테슬라의 로보택시는 당초 예상보다 출시가 늦어지고 있지만 2026년 양산이 목표다. 테슬라는 기존에 판매 중인 모델Y 차량을 업그레이드해 로보택시로 운행할 수 있다고 밝혔다. 또 개인 차주들이 차를 사용하지 않는 시간에 로보택시로 수익을 창출할 수 있게 한다는 구상도 진행 중이다.
아마존의 자율주행 자회사인 '죽스' 역시 주요 경쟁사로 꼽힌다. 죽스는 올해 2월 캘리포니아에서 자율주행차로 일반인을 태울 수 있는 허가를 취득했다. 현재 샌프란시스코, 라스베이거스, 시애틀에서 로보택시를 시범운행 중이며 내년 마이애미로 테스트 지역을 확대할 예정이다.
죽스의 로보택시는 운전석이나 앞 유리가 없는 4인승 자율주행차가 밤이나 비가 오는 환경에도 시속 70㎞로 달릴 수 있다고 전해졌다.
[홍성용 기자]

",2024-12-29 16:44:11
매일경제,상폐 경고 받았던 양자컴株 실스크 한달새 2100% 폭등,"
      사진 확대     
미국 뉴욕 증시에서 한 달 만에 주가가 2000% 넘게 오른 종목이 나왔다. 반도체·양자암호화 기술 전문 기업 실스크(티커 LAES)다.
29일 금융투자업계에 따르면 지난 27일(현지시간) 실스크는 뉴욕 증시에서 전 거래일 대비 3.65% 오른 9.08달러로 거래를 마치며 시가총액 8억8700만달러를 기록했다.
실스크는 국내외 MZ세대를 중심으로 가장 뜨거운 종목이다. 연초 1.17달러에 불과하던 이 종목 주가는  연중 676% 올랐고, 지난 6개월 동안 1007% 상승했다.
양자컴퓨터 섹터가 부각된 최근 한 달 상승률은 무려 2114%로 22배 넘게 뛰었다. 한 달 전에 100만원을 투자한 종목이 2200만원 넘는 돈으로 돌아온 셈이다.
실제로 한국예탁결제원에 따르면 지난 한 달(11월 28일~12월 27일) 동안 서학개미들이 많이 사들인 종목에서 실스크는 14위를 차지했다. 서학개미들은 한 달 새 실스크를 8278만6472달러(약 1221억원)어치 순매수했다. 이는 순매수 규모 16위인 '2배 비트코인 스트래티지 ETF'의 7244만1975달러(약 1069억원), 20위 '아마존' 5287만6532달러(약 780억원)보다 크다.
특히 연초부터 이달 들어서까지 1달러 미만의 주가를 유지해 상장폐지 경고 대상이었던 회사 주가는 이달 10일부터 폭등하며 상승 곡선을 그리고 있다.
지난 26일 나스닥에서 최소 주가 요건을 회복했다는 공식 서한을 받았다고 발표한 뒤 주가는 단 하루 만에 60% 넘게 오르기도 했다.
2023년 5월 나스닥에 상장된 이 회사는 이달 구글발 양자컴퓨터 섹터가 조명받으면서 주가 상승폭을 키우는 모습이다. 이달 구글이 개발한 양자컴퓨터 칩 '윌로'가 현재 슈퍼컴퓨터가 10의 242인 10셉틸리언년이 걸려 풀 수 있는 문제를 단 5분 만에 풀어낸다는 소식이 전해지면서 양자섹터 주목도가 커졌다.
[홍성용 기자]

",2024-12-29 16:44:10
매일경제,"임유철 PEF협의회장 ""내년 M&A 회복세 지속""","


기업 구조조정 매물 쏟아질것고금리 지속 기업가치 낮아져


      사진 확대     
""정치적 불안정성이 높지만, 내년 인수·합병(M&A) 시장은 올해보다 더 회복될 것이다.""
지난 23일 서울 종로구 사무실에서 만난 임유철 PEF운용사협의회 회장(사진)은 기자와 만나 이같이 강조했다. 임 회장은 ""정치 불확실성으로 해외 기관투자자(LP)는 투자 관망세로 돌아섰고, 향후 국가전략기술과 같이 정부 허가가 필요한 산업은 M&A 딜이 어려워질 수 있다""며 ""다만 실제 돌아가는 M&A 딜에 정치 리스크가 직접적으로 큰 영향을 주진 않을 것""이라고 전망했다.
임 회장은 ""2021년 고점에 형성됐던 몸값을 매각 측에서 한동안 고수했지만, 고금리가 지속되면서 눈높이가 계속 낮아지고 있다""며 ""통상적으로 4년 후면 몸값이 시장이 받아줄 정도로 낮아진다. 이렇게 되면 자연스레 인수 측 눈높이와 맞춰져서 M&A가 더 늘어나게 된다""고 설명했다. 아울러 대기업이 1997년 외환위기 때와 다르게 선제적으로 구조조정을 하고 있어서 내년에 대기업 계열사·사업부 등 M&A 매물이 많이 나올 전망이다.
임 회장은 ""누적 약정액 기준 운용 규모가 1조원을 넘어가는 PEF 운용사가 30곳 가까이 된다""며 ""과거엔 주로 외국계 운용사가 조 단위 딜을 독점했지만, 최근엔 국내 운용사들도 존재감을 드러내고 있다""고 말했다.
임 회장은 PEF 산업에 대한 인식 제고에 힘쓸 전망이다. 그는 ""PEF 산업의 장점은 기업 밸류업에 진심이라는 것""이라며 ""특히 PEF는 재벌그룹 가문처럼 2세, 3세에게 물려주지 못한다""고 강조했다.
이를테면 사모펀드의 자금줄인 국내외 LP는 운용사를 선정할 때 그동안의 실적(트랙 레코드)뿐만 아니라 얼마나 해당 팀이 같이해왔는지, 또 성공보수를 얼마나 적정하게 나눠 가졌는지를 종합적으로 평가한다.
한편 PEF운용사협의회 회장사는 올해 11월부터 내년 10월까지 1년간 H&Q코리아가 맡게 됐다.
H&Q코리아는 이정진·이종원·임유철·김후정 4명의 공동대표가 운영하는 PEF 운용사로, 토종 펀드 중에서 업력이 가장 오래된 운용사다.
[나현준 기자]

",2024-12-29 16:43:56
매일경제,테슬라 4분기 인도량 '주목',"
      사진 확대     
지난주 국내 증시는 원화가치 폭락과 배당락이 부담으로 작용하며 고전했다. 하지만 증권가 일각에선 대내외적 악재가 선반영된 만큼 이번주에 기술적 반등을 기대하고 있다.
대신증권에 따르면 2000년 이후 코스피는 배당락 이후 연초 5거래일까지 주간 평균 수익률 1.14%로 다른 기간(0.11%)을 상회했다.
주중 공개가 예정된 주요 경제지표도 증시 반등의 계기가 될지 주목된다. 내년 1월 1일에는 한국 수출입 동향이 발표된다. 중국·유럽의 경기 부양 정책에 힘입어 견조한 수치가 예상된다. 이 경우 증시 체력에 대한 불안 심리가 다소 진정될 가능성이 있다.
이재원 신한투자증권 연구원은 ""수출 데이터를 지속 관찰하며 특히 조선, 변압기, 화장품을 비롯해 미국향 수출 호조 품목에 관심을 가질 필요가 있다""고 짚었다. 뉴욕증시에서는 다음주에 나올 테슬라 4분기 차량 인도량에 관심이 모인다. 테슬라는 지난 3분기부터 중국에서 차량 등록이 늘어나기 시작했다.
한편 매일경제와 크래프트테크놀로지스가 공동 개발한 인공지능(AI) 기반 주식 위험관리지수 '붐&쇼크지수' 국내판 위험 수치는 이번주에도 0을 나타냈다. 미국판은 1을 기록했다. 붐&쇼크지수가 0~10이면 현금 비중 축소를 뜻한다.
[우수민 기자]

",2024-12-29 16:43:56
