언론사,제목,내용,작성일시
매일경제,"‘아자르 신화’ 안상일, 벤처 투자자 됐다… 알토스 합류","
 신정환 카카오 전 CTO도 합류AI 기업 발굴·투자사 지원 강화        사진 확대    신정환 카카오 전 부사장(좌), 안상일 하이퍼커넥트 전 대표(우)가 알토스벤처스의 벤처파트너로 합류했다.  미국의 한국계 벤처캐피탈 알토스벤처스가 하이퍼커넥트 공동창업자인 안상일 전 대표를 벤처파트너로 영입했다고 6일 밝혔다. 카카오 전 기술최고책임자(CTO)를 역임한 신정환 전 부사장도 함께 합류했다.알토스벤처스는 두 벤처파트너와 함께 포트폴리오 기업 지원 역량을 강화하고, 인공지능(AI)과 첨단 기술 분야 유망 초기 기업 발굴에 박차를 가할 계획이다.신정환 파트너는 서울대 건축학과를 졸업한 후 NHN에서 소프트웨어 엔지니어로 경력을 시작했다. 이후 NHN 재팬 팀장과 NHN 비즈니스 플랫폼 부장을 거쳐 카카오 CTO를 맡았다. 신 파트너는 카카오 재직 기간 동안 카카오톡, 카카오스토리와 같은 주요 서비스 개선과 수익화를 성공적으로 수행했다.안상일 파트너는 서울대 재료공학부를 졸업한 후 연쇄창업가로서 6개의 스타트업을 창업했다. 2014년 하이퍼커넥트를 공동 창업해 글로벌 영상 채팅 플랫폼 아자르와 라이브 스트리밍 서비스 하쿠나라이브를 개발했다. 서비스를 전 세계 230개국에 확장하며 하이퍼커넥트를 세계적인 기업으로 성장시켰다.이후 안 파트너는 2021년 하이퍼커넥트를 미국 나스닥 상장사인 매치그룹에 2조원에 매각한 후 매치그룹 아시아태평양 최고혁신책임자(CIO)를 역임했다.신 파트너는 지난해 9월, 안 파트너는 같은 해 11월 알토스벤처스에 합류했다. 두 파트너는 포트폴리오 기업 기술·제품 개발과 운영 효율성 성장 전략 수립을 도울 예정이다.한편 알토스벤처스는 1996년 미국 실리콘밸리를 기반으로 설립된 벤처캐피털로, 2006년 한국 투자를 본격화했다. 크래프톤, 우아한형제들(배달의민족), 하이퍼커넥트, 비바리퍼블리카(토스), 당근마켓 등에 투자했다.
",2025-01-06 09:44:38
매일경제,"메리츠증권, 美국채 실시간 거래 ‘미국채권 LIVE’ 서비스 시행","
      사진 확대     메리츠증권은 실시간으로 미국 국채 거래가 가능한 ‘미국채권 LIVE’ 서비스를 시행한다고 6일 밝혔다.이에 따라 비대면 전용 투자계좌 ‘Super365’를 보유한 고객은 모바일트레이딩시스템(MTS)을 통해 오전 9시부터 오후 10시까지 총 13시간 동안 실시간으로 미국 국채를 거래할 수 있다.해외중개사를 거치지 않고 메리츠증권이 자체 보유한 물량에 대해 직접 호가를 제시하는 방식으로, 투자자 입장에서는 즉각 매수와 매도를 할 수 있게 됐다.투자자는 장외시장 시세를 반영한 호가로 즉시 매매하는 ‘최우선 주문’ 혹은 고객이 지정한 가격으로 주문을 내는 ‘지정가 주문’ 중 선택해 거래할 수 있다.별도의 환전 신청 없이 원화로 바로 주문이 가능한 자동환전 매매 기능을 적용해 편의성을 높이기도 했다.메리츠증권 관계자는 “미국 국채를 예약매매가 아닌 실시간으로 밤까지 거래할 수 있는 국내 최초의 서비스”라고 밝혔다.
",2025-01-06 09:44:00
매일경제,"“삼성에스디에스, 이익률 개선 지연·성장 전략 구체화 기대”…목표가↓","
      사진 확대    삼성 SDS CI. [사진 출처 = 삼성SDS]  하나증권은 6일 삼성에스디에스에 대해 이익률 개선 시점이 지연된다며 목표주가를 22만원에서 19만원으로 하향 조정했다. 투자의견은 ‘매수’를 유지했다.삼성에스디에스의 지난해 4분기 영업이익은 전년 동기 대비 7.6% 증가한 2309억원이다. 같은 기간 매출액은 3조5300억원이다. 이는 컨센서스를 하회할 전망으로 주요 요인은 기대에 미치지 못한 클라우드관리서비스(MSP) 수주 매출과 항공·해상 운임의 하락으로 인한 물류 매출의 감소가 원인이라고 봤다.하나증권은 4분기 금융·제조 업종에서 유의미한 신규 성과가 부재한 영향도 있다고 봤다. IT아웃소싱(ITO), 시스템통합(SI)은 캡티브향 매출 감소로 전년 대비 역성장 예상하며 올해도 이러한 추세가 지속될 것으로 전망했다. 항공과 해상 운임 감소에 따라 물류 부문 매출액은 감소가 불가피하다고 봤다.정보기술(IT) 서비스 매출액은 지난 3분기 MSP의 성장과 클라우드 서비스 제공사(CSP)의 높은 비중을 바탕으로 13.7%라는 높은 영업 이익률을 나타냈다고 봤다. 클라우드 중심의 구조적 이익 성장 가능성을 확인한 것이다.다만 여전히 캡티브 매출이 80% 이상을 차지해 클라우드 대비 SI와 ITO의 매출 합이 30% 이상 크다고 봤다. CSP의 고성장으로 장기적인 이익률 개선은 구조적이나, 올해는 우호적이지 않은 캡티브 환경에 클라우드향 R&D 투자가 계속돼 IT 서비스 부문 영업이익률은 지난해 대비 하락할 것으로 전망했다.이준호 하나증권 연구원은 “올해 캡티브향 매출 둔화 우려가 하방 압력으로 작용하고 있으나 현재 주가는 이를 모두 반영한 수준으로 보인다”며 “지난해 삼성전자로부터 구미에 있는 토지 매입을 공시했는데 4분기 실적 발표에서 토지 활용 방안과 장기 성장 전략의 구체화를 기대한다”고 밝혔다.
",2025-01-06 07:55:11
매일경제,"“파마리서치, 리쥬란은 불경기도 피해간다”…목표가↑","
      사진 확대    리쥬란 모델 차예련. [사진 출처 = 파마리서치]  상상인증권은 6일 파마리서치에 대해 내수와 수출에서 높은 성장이 기대된다며 목표주가를 기존 30만원에서 33만원으로 상향 조정했다.상상인증권은 파마리서치의 올해 연결 기준 매출액과 영업이익을 각각 전년 동기 대비 18.9% 증가한 4030억원, 전년 대비 20.6% 증가한 1489억원으로 추정했다. 수출과 내수에서 높은 성장세를 창출할 것으로 전망되기 때문이다.특히 올해 리쥬란이 오리지널 제품의 장점을 살려 국내외 매출이 고성장을 이룰 수 있을 것이라는 평가다.상상인증권은 올해 상반기 국내 내수 수요는 증가하지만 의료관광 수요는 일시적(올해 1분기 정도)으로 위축될 가능성은 존재한다. 반면 올해 의료기기 내수 매출은 20.8% 증가한 1609억원으로 고성장할 것이라는 분석이다.이 기간 리쥬란 브랜드 후광으로 파마리서치의 화장품 매출도 안정적으로 성장할 전망이다.하태기 상상인증권 연구원은 “올해 상반기에는 경기 부진 환경이 증시에 부정적인 영향을 미칠 것이다”면서도 “그러나 리쥬란의 상대적인 경쟁력으로 국내 매출 증가는 지속될 것이다. 리쥬란의 수출이 계속해서 고성장 중이다”고 말했다.
",2025-01-06 07:51:10
매일경제,"“한국선 콧대 높은 애플, 중국선 할인한다고?”…충격받은 주가 연초부터 뚝 뚝","
 “애플에 겨울이 왔다”계속되는 中 소비심리 위축작년말 아이폰 실적 저조에연초 아이폰16 등 할인판매5거래일 연속 매도에 6% 뚝        사진 확대    [사진 출처 = 연합뉴스]  전세계 시가총액 1위 기업 애플의 실적 부진 가능성이 점쳐지면서 월가 일각에서 실적 기대치를 낮추고 있다. 최근 몇 년새 실적 발목을 잡은 중국 판매 둔화 리스크가 다시 부각된 탓이다.다만 특히 작년의 경우에는 미·중 갈등 변수보다는 중국의 경제 하방 압력과 소비 심리 둔화가 추가 변수로 떠올랐다.3일(현지시간) 뉴욕증시에서 애플 주가는 0.2% 하락하면서 243.36달에 거래를 마쳤다. 애플은 지난달 26일 259.02달러에 거래돼 종가 기준 사상 최고가를 기록했다. 그러나 이후 주가가 5거래일 연속 하락하면서 이 기간 동안 약 6% 떨어졌다.애플은 작년 상반기에 대형 기술기업 중에서 인공지능(AI) 경쟁에서 별다른 두각을 나타내지 못한다는 평가를 받은 탓에 주가 상승세가 더딘 흐름을 보였다.이후 하반기 들어서는 마이크로소프트와 알파벳 등이 AI 에 과도하게 투자한다는 지적이 나오자 오히려 애플이 주목받는 반사 효과를 누리며 지난해 주가가 약 30% 올랐다.      사진 확대     다만 새해 들어서는 애플의 작년 4분기 실적 우려감이 커지는 모양새다. 새해 첫날인 지난 1일 스위스계 대형 투자은행인 UBS의 데이비드 보그트 연구원은 투자 보고서를 통해 “여기 이곳(애플)에 겨울이 찾아왔다”면서 작년 4분기 이후 애플의 아이폰 매출이 시장 전망을 밑돌 가능성이 있다고 지적했다.보그트 연구원은 “작년 11월 중국 시장에서 아이폰 판매 대수가 2023년 11월보다 28% 급감한 것으로 보인다”면서 “작년 4분기 아이폰 매출이 전문가들 기대치 평균보다 5% 밑돌 것”으로 전망했다. 아이폰은 애플 전체 매출의 약 51%를 차지하고 있다.UBS 측은 다만 애플에 대해 기존 중립 투자의견과 12개월 목표가 236달러를 유지했다. 이는 금융정보업체 팩트셋 집계 기준 월가 기대치(248달러)보다 낮은 수준이다.애플은 최근 중국 시장 부진을 이겨내기 위해 가격 할인 등 판촉 행사에 들어간다. 일례로 오는 4~7일 중국에서 아이폰 모델 일부 기종 가격을 낮춘다.최신 주력 기종인 아이폰16 프로와 아이폰16 프로맥스는 각각 500위안(약 10만원) 싸게 살 수 있도록 할인한다. 할인 후 아이폰16 프로의 중국 내수 가격은 7999위안(약 160만원)부터, 아이폰16 프로맥스는 9999위안(약 200만원)부터 시작한다.할인 행사가 애플의 주요 시장인 중국 판매 실적을 끌어올릴지 여부는 미지수다. 중국 내 화웨이로 대표되는 중국산 스마트폰 업체들과의 시장 경쟁이 치열한 데다 중국 부동산 침체와 실물 경제 둔화에 따른 소비 심리 위축이 전반적인 압박으로 작용하기 때문이다.앞서 2일 발표된 2024년 12월 차이신 제조업 구매관리자지수(PMI)는 50.5를 기록해 전달(51.5)보다 하락했다. 3개월 연속 기준선인 50은 넘겼지만 확장세가 더뎌지는 모양새다. 이는 지난달 31일 중국 국가통계국이 발표한 12월 제조업 PMI(50.1)가 확장 국면 둔화를 보여준 것과 맥을 같이 한다.중국 뿐 아니라 또다른 주요 시장인 유럽도 아이폰 매출 발목을 잡는 분위기다. AI 시대에도 불구하고 아이폰 하드웨어가 실질적으로 달라진 것 없다는 전문가·소비자들의 평가가 이어진 가운데 보그트 연구원은 “작년 11월 애플 아이폰 매출은 유럽 지역에서도 1년 전보다 8% 줄었을 것”이라고 밝혔다.다만 희망론도 나온다. 전자기기 시장 조사업체 카운터포인트 리서치는 최근 보고서에서 작년 4분기 애플이 중국 스마트폰 시장에서 점유율 23%를 차지한 것으로 추정되며 이는 중국 업체인 비보(19%)와 오포(17%) 등을 제치고 오랜만에 1위 자리를 탈환한 것이라고 밝혔다. 애플이 분기별 1위를 차지한 것은 2016년 4분기 이후 이번이 처음이고, 시장점유율 23%는 중국에서 애플의 역대 최고 점유율이라는 설명도 따랐다.다만 작년 4분기 중국 내 스마트폰 전체 판매량은 1년 전보다 9% 줄어들었을 것이라는 게 카운트포인트 측 예상이다. 한편 중국 내 4위는 화웨이에서 분사한 아너(15%), 5위는 샤오미(13%), 6위는 화웨이(7%)다.이런 가운데 지난달 말 웨드부시의 댄 아이브스 선임연구원은 애플 12개월 목표가를 기존 300달러에서 325달러로 올려잡았다. 팩트셋 집계에 따르면 최근 투자의견을 낸 전문가 중 가장 높은 목표가를 제시한 셈이다.
",2025-01-06 06:46:00
매일경제,"MBK재단, 대학신입생 장학금","
MBK 장학재단이 2025년도 대학 입학 예정자를 대상으로 오는 13일까지 제18기 장학생을 모집한다. 장학생 모집에는 별도의 선발 전형이 없으며 지원자의 성별, 출신 지역, 진학 예정 대학, 전공 분야도 가리지 않는다. 우수한 능력과 미래 지도자로서의 잠재력을 갖춘 2025년 대학 입학 예정자면 누구나 지원 가능하다.
[오대석 기자]

",2025-01-05 17:09:34
매일경제,새해 대세는 역시 양자컴 … 실스크 쓸어담는 서학개미,"


한달새 주가 1885% 넘게 상승반도체·비트코인 종목도 인기


      사진 확대     
새해 들어 서학개미가 '픽'한 업종은 반도체와 양자컴퓨터, 비트코인 등인 것으로 나타났다.
특히 최근 주가가 급등하고 있는 실스크(LAES)가 순매수 결제 상위권에 이름을 올리며 관심 종목으로 급부상하고 있다.
5일 한국예탁결제원 증권정보포털(세이브로)에 따르면 이달 1일부터 3일까지 한국예탁결제원을 통한 외화증권 투자 순매수 결제 금액 1위는 디렉시온데일리 세미컨덕터 불 3X 셰어스(SOXL)인 것으로 확인됐다. 해당 상장지수펀드(ETF)는 미국 필라델피아 반도체지수를 3배로 추종하는 레버리지형 ETF다.
순매수 결제 금액은 총 1억2108만7312달러로 약 1780억원에 이른다. 2위와의 금액 차이는 4배 이상이다.
올해에도 인공지능(AI) 산업 활황이 이어져 반도체 업종이 유망할 것이라는 전망에 따른 기대감이 반영된 결과로 분석된다.
국내외 주요 증권사들이 추천 업종으로 반도체 분야를 꼽은 가운데 지난해 연초 대비 최대 145%까지 올랐던 만큼 가격이 낮을 때 저가 매수에 나선 것으로 풀이된다. 연초 첫 주 마지막 장이었던 3일(현지시간) 해당 종목은 전 거래일 대비 7.77% 오른 29.82달러에 장을 마감했다.
2위에 이름을 올린 실스크는 최근 주가 상승에 따라 매수세가 빠르게 증가하고 있다. 3일간 순매수 결제 금액은 2910만달러로 주가가 지난 한 달 동안 0.41달러에서 3일 종가 기준 8.14달러까지 무려 1885% 올랐다.
실스크는 12월 들어서까지 1달러 미만의 주가를 유지하며 상장폐지 경고 대상에 올랐으나 양자컴퓨터 테마가 주목받으면서 급부상했다.
그러나 최근 급등세를 보이는 만큼 주가 변동성이 커 투자에 신중해야 한다는 지적도 나온다.
지난 한 달간 실스크의 주가 등락률을 보면 최고 101.4%, 최저 28.24%를 기록하는 등 편차가 심한 모습을 보이고 있다.
한편 3위는 테슬라 일일 주가 수익률을 2배로 추종하는 디렉시온데일리 테슬라 불 2X 셰어스(TSLL)가, 4위는 나스닥100지수 수익률 3배 성과를 노리는 프로셰어스 울트라프로 QQQ(TQQQ)가 차지했다.
현재 시가총액 1위인 테슬라와 나스닥100 등 미국 우량주에 대한 기대감이 적극 반영된 결과로 풀이된다.
5위는 엔비디아에 이어 반도체 업종 상승세를 이끌어갈 것으로 평가받는 브로드컴이 차지했다. 순매수 결제 금액은 1996만4698달러다.
6위와 7위는 모두 비트코인 개발 회사인 마이크로스트래티지 관련 ETF가 차지했다.
[정상봉 기자]

",2025-01-05 16:57:38
매일경제,삼전 실적발표 앞두고 숨죽인 코스피,"
외국인 수급이 돌아오면서 반등한 코스피가 삼성전자의 실적 발표 등 주요 이벤트를 앞두고 경계감이 높아질 전망이다. 이번주에는 세계 최대 정보기술(IT)·가전 전시회 'CES 2025', 미국 연방공개시장위원회(FOMC) 의사록 공개 등 증시를 좌우할 이벤트가 줄줄이 진행된다.
5일 한국거래소에 따르면 지난주 코스피는 전주 대비 1.54% 상승한 2441.92에 마감했다. 5거래일 연속 하락하던 코스피는 윤석열 대통령에 대한 체포영장 집행과 미국발 호재에 힘입어 3일 1.79% 반등했다.
이번주 증시의 이목은 8일로 예정된 삼성전자의 지난해 4분기 잠정실적 발표에 쏠려 있다. 증권가에서 삼성전자에 대한 실적 눈높이를 줄줄이 낮췄으나 실제로는 전망치보다 낮을 가능성도 존재한다.
7일(현지시간)부터 개최되는 CES 2025는 국내 증시에 긍정적인 모멘텀으로 작용할 수 있다. 증권가에서는 올해 핵심 키워드가 인공지능(AI)이 될 것으로 예상하면서 실적이 뒷받침되는 업종에 대한 중장기 투자가 유효할 수 있다고 분석했다. 8일 발표되는 미국 연방준비제도(Fed·연준)의 12월 FOMC 의사록을 통해서는 금리 인하 지연에 대한 시장의 불안심리가 완화될 수 있다.
매일경제와 크래프트테크놀로지스가 공동 개발한 AI 기반 위험관리지수 '붐&쇼크지수' 국내판과 미국판 위험 수치는 모두 0을 가리켰다.
[김정석 기자]

",2025-01-05 16:57:38
매일경제,트럼프발 호재 '탄소포집' 엑손모빌·옥시덴털 주목,"


정책 수혜에 성장성 부각


올해 월가를 비롯한 전 세계 금융투자업계가 도널드 트럼프 2기 행정부의 정책 방향에 촉각을 곤두세우고 있다. 5일 금융투자업계에 따르면 트럼프 정부는 화석연료 생산을 촉진해 전기료를 대폭 줄이겠다는 비전을 핵심 정책으로 내세웠지만 역설적으로 환경 친화적인 '탄소포집(CCUS)' 기술이 본격 확대되는 원년이 될 것이라는 분석이 나온다.
CCUS는 화석연료를 사용할 때 배출되는 이산화탄소를 포집해 저장(CCS)하거나 활용(CCU)하는 기술이다. CCUS 기술 중 최근에는 거대한 팬을 돌려 대기 중 공기를 빨아들인 후 탄소와 결합하는 화학물질을 사용해 탄소를 제거하는 대기직접포집(DAC) 프로젝트가 주목받고 있다.
뉴욕증시에 상장된 기업 가운데서는 엑손모빌, 옥시덴털 페트롤리엄, 쉘 등 글로벌 석유·천연가스 기업들이 탄소포집 정책의 대표 수혜주로 떠오르고 있다.
하나증권은 ""트럼프2.0 시대에 탄소포집(CCS·DAC)의 성장성이 더욱 부각될 여지가 높다""며 ""트럼프의 핵심 정책인 원유·가스 생산량을 확대하기 위해서는 유전에서 이산화탄소를 활용한 석유회수증진(EOR)이  필수적인데, 미국에서 사용할 수 있는 이산화탄소가 절대적으로 부족하기 때문""이라고 분석한 바 있다.
미국은 지난해 발효된 인플레이션 감축법(IRA)을 통해 CCUS 설비 설치 등 관련 프로젝트에 대한 세액공제 지원을 강화했다. CCS는 탄소 1t당 85달러의 인센티브를 제공한다.
엑손모빌, 옥시덴털 페트롤리엄, 셰브론 등 석유기업들은 IRA법을 통해 지원받은 3700억달러의 친환경 세액공제를 활용해 수소와 탄소포집 기술에 대한 투자를 키워왔다.
엑손모빌이 데이터센터에 직접 전기를 공급하기 위해 설계하는 대규모 천연가스 화력발전소에 이산화탄소를 90% 이상 포집할 수 있는 기술을 적용하려는 게 대표적인 예다.
셰브론의 친환경에너지 자회사인 셰브론 뉴에너지스도 탄소포집 기술을 갖춘 천연가스 화력발전소를 건설하는 방안을 1년 이상 논의해왔다.
더구나 이들 기업은 석유 생산량을 확대하기 위해 탄소를 유전에 주입하는 CCS 방식을 이미 적극 활용하고 있기도 하다. 친환경 기술을 석유 생산능력 확장에 쓴다는 비판에도 궁극적으로 미국의 전기료를 낮추는 데 일조할 것이라는 점에서 트럼프가 탄소포집을 지원하는 IRA법을 폐기하기 어렵다는 것이다.
[홍성용 기자]

",2025-01-05 16:57:37
매일경제,"""애플에 겨울이 왔다""… 커지는 中실적 우려","


계속되는 中 소비심리 위축작년말 아이폰 실적 저조에연초 아이폰16 등 할인판매5거래일 연속 매도에 6% 뚝부진한 유럽매출도 주가 발목


      사진 확대     
전 세계 시가총액 1위 기업 애플의 실적이 부진할 것으로 점쳐지면서 월가 일각에서 기대치를 낮추고 있다. 최근 몇 년 새 실적 발목을 잡은 중국 판매 둔화 리스크가 다시 부각된 탓이다. 다만 특히 작년에는 미·중 갈등보다 중국의 경제 하방 압력과 소비심리 둔화가 추가 변수로 떠올랐다.
3일(현지시간) 뉴욕증시에서 애플 주가는 0.2% 하락하면서 243.36달러에 거래를 마쳤다. 애플은 지난달 26일 259.02달러에 거래돼 종가 기준 사상 최고가를 기록했으나 이후 5거래일 연속 내려 이 기간 동안 약 6% 떨어졌다. 애플은 작년 상반기에 대형 기술기업 중 인공지능(AI) 경쟁에서 별다른 두각을 나타내지 못한다는 평가를 받은 탓에 주가 상승세가 더딘 흐름을 보였다.
이후 하반기 들어서는 마이크로소프트와 알파벳 등이 AI에 과도하게 투자한다는 지적이 나오자 오히려 애플이 주목받는 반사 효과를 누리며 지난해 주가가 약 30% 올랐다.
다만 새해 들어 작년 4분기 애플 실적에 대한 우려감이 커지는 모양새다. 새해 첫날인 지난 1일 스위스계 대형 투자은행 UBS의 데이비드 보그트 연구원은 투자 보고서를 통해 ""이곳(애플)에 겨울이 찾아왔다""면서 작년 4분기 이후 애플의 아이폰 매출이 시장 전망을 밑돌 가능성이 있다고 지적했다.
보그트 연구원은 ""작년 11월 중국 시장에서 아이폰 판매 대수가 2023년 11월보다 28% 급감한 것으로 보인다""면서 ""작년 4분기 아이폰 매출이 전문가들 기대치보다 5% 하회할 것""이라고 전망했다. 아이폰은 애플 전체 매출 중 약 51%를 차지하고 있다.
UBS 측은 다만 애플에 대해 중립 투자의견과 12개월 목표가 236달러를 유지했다. 이는 금융정보업체 팩트셋 집계 기준 월가 기대치(248달러)에 비해 낮은 수준이다.
애플은 최근 중국 시장 부진을 이겨내기 위해 가격 할인 등 판촉 행사에 들어간다. 일례로 7일까지 중국에서 아이폰 모델 일부 기종 가격을 낮춘다. 최신 주력 기종인 아이폰16 프로와 아이폰16 프로맥스를 각각 500위안(약 10만원) 싸게 살 수 있다. 할인 후 아이폰16 프로의 중국 내수 가격은 7999위안(약 160만원)부터, 아이폰16 프로맥스는 9999위안(약 200만원)부터 시작한다.
할인 행사가 애플의 주요 시장인 중국에서 판매 실적을 끌어올릴지는 미지수다. 화웨이로 대표되는 중국산 스마트폰 업체들과의 경쟁이 치열한 데다 중국 부동산 침체와 실물경제 둔화에 따른 소비심리 위축이 전반적인 압박으로 작용하기 때문이다.
중국뿐 아니라 또 다른 주요 시장인 유럽도 매출 발목을 잡는 분위기다. AI 시대에도 아이폰 하드웨어가 실질적으로 달라진 것이 없다는 전문가·소비자들의 평가가 이어진 가운데 보그트 연구원은 ""작년 11월 아이폰 매출은 유럽지역에서도 1년 전보다 8% 줄었을 것""이라고 밝혔다.
다만 희망론도 나온다. 전자기기 시장 조사업체 카운터포인트 리서치는 최근 보고서에서 작년 4분기 애플이 중국 스마트폰 시장에서 23%를 점유한 것으로 추정되며 이는 중국 업체인 비보(19%)와 오포(17%) 등을 제치고 오랜만에 1위 자리를 탈환한 것이라고 밝혔다.
애플이 분기별 1위에 오른 것은 2016년 4분기 이후 이번이 처음이고 시장점유율 23%는 중국에서 기록한 역대 최고 수치라는 설명도 따랐다. 이런 가운데 지난달 말 댄 아이브스 웨드부시 선임연구원은 애플의 12개월 목표가를 기존 300달러에서 325달러로 올려 잡았다.
[김인오 기자]

",2025-01-05 16:57:35
