Symbol,Category,Name,Price,RiseFall,Change,ChangeRate,NAV,EarningRate,Volume,Amount,MarCap
459580,6,KODEX CD금리액티브(합성),1057560,2,300,0.03,1057346.0,0.8398,289552,306219,95099
357870,6,TIGER CD금리투자KIS(합성),55425,2,15,0.03,55424.0,0.8187,218161,12090,68508
360750,4,TIGER 미국S&P500,21195,5,-465,-2.15,21193.0,17.1444,4928789,104522,64136
069500,1,KODEX 200,32330,5,-750,-2.27,32414.0,-3.7589,3830187,123991,55462
423160,6,KODEX KOFR금리액티브(합성),108975,2,15,0.01,108965.0,0.8328,44974,4900,43609
133690,4,TIGER 미국나스닥100,136555,5,-4165,-2.96,136832.0,22.4653,532225,72820,43438
488770,7,KODEX 머니마켓액티브,101435,2,10,0.01,101455.0,0.9203,67156,6811,40304
449170,6,TIGER KOFR금리액티브(합성),107490,2,5,0.0,107491.0,0.8254,109785,11800,34783
381170,4,TIGER 미국테크TOP10 INDXX,24995,5,-665,-2.59,24940.0,28.9123,4334307,108423,30706
379800,4,KODEX 미국S&P500TR,19435,5,-430,-2.16,19445.0,17.163,2758470,53662,29745
273130,6,KODEX 종합채권(AA-이상)액티브,116200,5,-630,-0.54,116189.0,2.0126,77420,8997,28117
381180,4,TIGER 미국필라델피아반도체나스닥,18840,5,-760,-3.88,19016.0,13.8938,1399407,26422,26235
122630,3,KODEX 레버리지,14160,5,-700,-4.71,14229.0,-9.2242,19510744,277115,23194
278530,1,KODEX 200TR,11345,5,-270,-2.32,11362.0,-3.4899,211797,2406,21697
455890,6,RISE 머니마켓액티브,53410,2,5,0.01,53420.0,0.9164,259647,13868,20141
310970,1,TIGER MSCI Korea TR,13565,5,-315,-2.27,13567.0,-4.9966,3939,53,19805
458730,4,TIGER 미국배당다우존스,12615,5,-230,-1.79,12587.0,10.8952,2145723,27083,18733
102110,1,TIGER 200,32375,5,-765,-2.31,32458.0,-3.7524,1719891,55791,18567
481050,6,KODEX 1년은행양도성예금증서+액티브(합성),1023725,2,275,0.03,1023546.0,0.8205,5565,5697,18124
371460,4,TIGER 차이나전기차SOLACTIVE,9415,2,85,0.91,9468.0,39.9849,1209988,11333,17937
453850,6,ACE 미국30년국채액티브(H),7980,5,-155,-1.91,7996.0,-10.1006,4989416,39885,17556
233740,3,KODEX 코스닥150레버리지,6660,5,-355,-5.06,6689.0,-14.1371,37329421,249370,16583
379810,4,KODEX 미국나스닥100TR,20485,5,-625,-2.96,20530.0,22.6968,2236583,45890,16521
214980,6,KODEX 단기채권PLUS,112930,2,15,0.01,112944.0,0.9025,52375,5914,16518
360200,4,ACE 미국S&P500,21420,5,-475,-2.17,21429.0,17.0855,1350108,28950,15744
385540,6,RISE 종합채권(A-이상)액티브,107950,5,-340,-0.31,107953.0,1.92,591,63,13412
453540,6,TIGER 25-10 회사채(A+이상)액티브,54050,2,5,0.01,54058.0,0.9526,120885,6534,12995
252670,3,KODEX 200선물인버스2X,2545,2,120,4.95,2543.0,7.064,116745361,295840,12610
367380,4,ACE 미국나스닥100,23465,5,-715,-2.96,23516.0,22.5669,1081784,25428,12343
229200,1,KODEX 코스닥150,11250,5,-300,-2.6,11280.0,-5.7912,6228610,70231,11773
476550,6,TIGER 미국30년국채커버드콜액티브(H),8635,5,-170,-1.93,8680.0,-8.8321,2491854,21550,11152
148020,1,RISE 200,32550,5,-805,-2.41,32624.0,-3.6735,180934,5903,10693
475630,7,TIGER CD1년금리액티브(합성),1031835,2,275,0.03,1031831.0,0.8475,22598,23317,10465
477080,6,RISE CD금리액티브(합성),102635,2,30,0.03,102594.0,0.8402,3243,332,10342
102780,2,KODEX 삼성그룹,8125,5,-115,-1.4,8126.0,-10.5806,280736,2282,10181
491080,6,KODEX 25-12 은행채(AAA)액티브,101155,2,25,0.02,101165.0,0.9432,20304,2053,9563
476810,6,KODEX 25-11 은행채(AA-이상)PLUS액티브,10365,5,-10,-0.1,10380.0,1.0223,39018,404,9407
305540,2,TIGER 2차전지테마,15795,5,-310,-1.92,15836.0,-20.3315,720803,11374,9082
305720,2,KODEX 2차전지산업,12840,5,-280,-2.13,12874.0,-21.9048,1293796,16626,9027
494900,6,TIGER 25-12 금융채(AA-이상),50335,2,15,0.03,50331.0,,3286,165,8839
458760,4,TIGER 미국배당다우존스타겟커버드콜2호,10760,5,-110,-1.01,10735.0,9.5434,822229,8851,8608
278540,1,KODEX MSCI Korea TR,10790,5,-220,-2.0,10794.0,-5.5342,3694,39,8330
436140,6,SOL 종합채권(AA-이상)액티브,112615,5,-500,-0.44,112655.0,1.9972,45,5,8156
368590,4,RISE 미국나스닥100,22735,5,-685,-2.92,22774.0,22.5472,536100,12202,8116
157450,6,TIGER 단기통안채,109115,2,25,0.02,109129.0,0.7759,12013,1310,8006
446720,4,SOL 미국배당다우존스,11590,5,-200,-1.7,11562.0,11.0378,543905,6306,7464
315930,2,KODEX Top5PlusTR,20760,5,-595,-2.79,20779.0,-0.7206,16693,346,7391
457480,4,ACE 테슬라밸류체인액티브,19100,5,-1370,-6.69,19129.0,89.8886,3932694,75325,7258
453870,4,TIGER 인도니프티50,13720,5,-70,-0.51,13775.0,1.997,516505,7067,7189
356540,6,ACE 종합채권(AA-이상)KIS액티브,106200,5,-695,-0.65,106375.0,2.1062,4210,447,7132
292150,2,TIGER TOP10,10660,5,-290,-2.65,10656.0,-2.5021,47765,509,6988
294400,1,KOSEF 200TR,41210,5,-970,-2.3,41289.0,-3.6657,125759,5206,6861
153130,6,KODEX 단기채권,111880,2,5,0.0,111886.0,0.7882,13121,1468,6860
379780,4,RISE 미국S&P500,18545,5,-410,-2.16,18549.0,17.0712,408507,7582,6769
458250,6,TIGER 미국30년국채스트립액티브(합성 H),41055,5,-1240,-2.93,41548.0,-14.4086,390302,16071,6346
451540,6,TIGER 종합채권(AA-이상)액티브,55675,5,-220,-0.39,55710.0,1.9795,11855,660,6295
329750,6,TIGER 미국달러단기채권액티브,13220,2,150,1.15,13216.0,9.0984,331539,4383,6276
314250,4,KODEX 미국빅테크10(H),46650,5,-2080,-4.27,46587.0,21.9011,216609,10104,5995
371160,4,TIGER 차이나항셍테크,7155,5,-5,-0.07,7166.0,38.7596,722420,5137,5971
411060,5,ACE KRX금현물,17155,5,-145,-0.84,17173.0,10.8263,762621,13094,5833
196230,6,RISE 단기통안채,113795,2,15,0.01,113806.0,0.7839,4451,506,5767
329200,2,TIGER 리츠부동산인프라,4025,5,-20,-0.49,4021.0,-12.1035,933021,3752,5587
402970,4,ACE 미국배당다우존스,12780,5,-215,-1.65,12747.0,11.0399,544663,6974,5547
152100,1,PLUS 200,32845,5,-780,-2.32,32923.0,-3.7416,318581,10483,5534
456610,6,TIGER 미국달러SOFR금리액티브(합성),58830,2,575,0.99,58834.0,9.4504,19827,1166,5484
396500,2,TIGER Fn반도체TOP10,9195,5,-295,-3.11,9215.0,-5.3839,453160,4171,5466
486290,4,TIGER 미국나스닥100타겟데일리커버드콜,10460,5,-315,-2.92,10475.0,22.041,1589025,16646,5429
114800,3,KODEX 인버스,4755,2,115,2.48,4755.0,4.3869,16651685,79053,5321
139260,2,TIGER 200 IT,26675,5,-875,-3.18,26738.0,-9.6544,16852,450,5207
465580,4,ACE 미국빅테크TOP7 Plus,18415,5,-545,-2.87,18379.0,31.5752,1516849,27923,5184
390390,4,KODEX 미국반도체MV,23865,5,-710,-2.89,24027.0,15.7614,347326,8302,5143
272580,6,TIGER 단기채권액티브,54980,2,10,0.02,54973.0,0.8253,20546,1129,5068
453810,4,KODEX 인도Nifty50,14020,5,-85,-0.6,14086.0,1.5844,379395,5306,4900
091180,2,KODEX 자동차,18320,5,-265,-1.43,18353.0,-0.188,91358,1673,4855
469830,6,SOL 초단기채권액티브,52375,2,15,0.03,52375.0,0.9446,86009,4504,4814
477050,6,PLUS 머니마켓액티브,51430,2,15,0.03,51434.0,0.9027,5029,258,4682
091160,2,KODEX 반도체,28920,5,-940,-3.15,28974.0,-4.6616,292003,8445,4671
439870,6,KODEX 국고채30년액티브,120685,5,-655,-0.54,119593.0,4.0517,16714,2012,4629
114260,6,KODEX 국고채3년,61650,5,-205,-0.33,61674.0,1.2771,21062,1298,4611
474220,4,TIGER 미국테크TOP10타겟커버드콜,14475,5,-200,-1.36,14463.0,28.0094,672624,9742,4552
161510,2,PLUS 고배당주,14790,5,-175,-1.17,14794.0,-0.6441,203132,3007,4526
481060,6,KODEX 미국30년국채타겟커버드콜(합성 H),9295,5,-160,-1.69,9350.0,-8.8851,850917,7921,4494
462010,2,TIGER 2차전지소재Fn,4255,5,-80,-1.85,4269.0,-23.4775,1213132,5161,4481
455030,6,KODEX 미국달러SOFR금리액티브(합성),12180,2,115,0.95,12183.0,9.6319,608404,7409,4453
466920,2,SOL 조선TOP3플러스,14400,2,190,1.34,14426.0,16.8585,2103717,30133,4277
293180,1,HANARO 200,32450,5,-780,-2.35,32525.0,-3.603,15213,494,4154
449180,4,KODEX 미국S&P500(H),13655,5,-450,-3.19,13672.0,7.9932,1031908,14105,4021
148070,6,KOSEF 국고채10년,118040,5,-915,-0.77,118147.0,1.5624,16568,1955,4002
251350,4,KODEX 선진국MSCI World,31075,5,-550,-1.74,30974.0,14.8746,25388,788,3915
446770,4,ACE 글로벌반도체TOP4 Plus SOLACTIVE,25265,5,-520,-2.02,25325.0,13.1864,56050,1418,3790
226490,1,KODEX 코스피,24965,5,-480,-1.89,24962.0,-3.2142,122875,3070,3770
441680,7,TIGER 미국나스닥100커버드콜(합성),11340,2,55,0.49,11411.0,14.1051,450424,5108,3697
105190,1,ACE 200,32750,5,-820,-2.44,32829.0,-3.6868,29239,960,3668
069660,1,KOSEF 200,32285,5,-780,-2.36,32329.0,-3.4571,16545,534,3664
472870,6,RISE 미국30년국채엔화노출(합성 H),8615,5,-200,-2.27,8618.0,-11.3447,1078073,9319,3614
476450,6,히어로즈 머니마켓액티브,51580,2,5,0.01,51587.0,0.8703,38309,1976,3534
483280,4,KODEX 미국AI테크TOP10타겟커버드콜,11685,5,-280,-2.34,11675.0,27.7493,737464,8615,3517
385560,6,RISE KIS국고채30년Enhanced,82470,5,-905,-1.09,82419.0,5.7588,55221,4539,3447
454780,6,히어로즈 종합채권(AA-이상)액티브,110395,5,-715,-0.64,110493.0,2.2124,4,0,3381
448290,4,TIGER 미국S&P500TR(H),14145,5,-455,-3.12,14152.0,8.1481,238076,3369,3331
302190,6,TIGER 중장기국채,52490,5,-280,-0.53,52508.0,1.3346,15815,829,3317
091170,2,KODEX 은행,8425,5,-150,-1.75,8436.0,2.2659,374209,3153,3256
449190,4,KODEX 미국나스닥100(H),16640,5,-675,-3.9,16675.0,13.1625,375584,6257,3253
471230,6,KODEX 국고채10년액티브,112100,5,-985,-0.87,112192.0,1.5216,13486,1512,3206
364980,2,TIGER 2차전지TOP10,8800,5,-175,-1.95,8831.0,-19.5068,8156590,71739,3168
491610,6,1Q CD금리액티브(합성),100845,2,30,0.03,100743.0,,2387,240,3164
473290,6,KODEX 26-12 회사채(AA-이상)액티브,10580,3,0,0.0,10586.0,1.1472,27740,293,3139
484790,6,KODEX 미국30년국채액티브(H),9290,5,-185,-1.95,9331.0,-9.4428,958946,8930,3114
479080,6,1Q 머니마켓액티브,51450,2,5,0.01,51454.0,0.9121,12645,650,3083
447770,7,TIGER 테슬라채권혼합Fn,14650,5,-370,-2.46,14677.0,29.7624,915770,13414,3047
304660,6,KODEX 미국30년국채울트라선물(H),7640,5,-145,-1.86,7642.0,-9.948,194377,1487,2972
